,animal_id,time,Plate.ID,species,0.00390625,0.0058594,0.0078125,0.011719,0.015625,0.0234375,0.023438,0.03125,0.046875,0.0625,0.09375,0.125,0.1875,0.25,0.375,0.5,1,npar,Infl.logX,Infl.propY,Prop.BottomAsym,Prop.TopAsym,Log.Xinfl,Log.Slope,Asym.Coef,gof,wgof,stdErr,wstdErr
13,elephant101852,30,14WT,elephant,NA,0.003884891,NA,0.00078109,NA,NA,NA,NA,0.996471263,NA,0.977768956,NA,0.983062062,NA,0.971240792,NA,NA,4,-1.546884412,0.491492313,0.001617782,0.981366844,-1.546884412,29.71282711,1,0.999767874,0.999999038,0.0077019,0.001567853
14,elephant101852,30,6WT,elephant,NA,NA,NA,0.001274985,NA,0.004909249,NA,NA,0.985730089,NA,0.989878319,NA,0.978595133,NA,0.969469027,NA,NA,4,-1.546884412,0.491492313,0.001617782,0.981366844,-1.546884412,29.71282711,1,0.999767874,0.999999038,0.0077019,0.001567853
15,elephant101852,60,6WT,elephant,NA,NA,NA,0.003208525,NA,0.973451327,NA,NA,0.965652655,NA,0.967975664,NA,0.965154867,NA,0.973783186,NA,NA,3,-1.85688229,0.484335579,0,0.968671159,-1.85688229,33.3898167,1,0.999908778,0.999999873,0.004211367,0.000314021
16,elephant101852,120,6WT,elephant,NA,0.001660859,NA,0.003279573,NA,NA,NA,NA,0.972621681,NA,0.966980089,NA,0.964823009,NA,0.976438053,NA,NA,4,-1.758972476,0.485900204,0.00166008,0.970140329,-1.758972476,16.12623539,1,0.999932671,0.999999709,0.004584758,0.000602982
17,elephant101852,240,8WT,elephant,NA,0.009057472,NA,0.00725035,NA,NA,NA,NA,0.966922111,NA,0.973156687,NA,0.970039399,NA,0.958089795,NA,NA,5,-1.578937826,0.375409254,0.008155393,0.968698407,-1.678657883,10.93187624,12.30629513,0.999889196,0.999998079,0.005827911,0.001534823
18,elephant103047,0,5WT,elephant,NA,0.009748539,NA,0.002330192,NA,NA,NA,NA,0.977659178,NA,0.976997228,NA,0.970874188,NA,0.971039676,NA,NA,4,-1.568431748,0.490088458,0.006038878,0.974138038,-1.568431748,37.61010401,1,0.999945313,0.999990966,0.004133458,0.003359989
19,elephant103047,30,5WT,elephant,NA,0.014025071,NA,0.013528609,NA,NA,NA,NA,0.986595507,NA,0.973687477,NA,0.971536138,NA,0.970377725,NA,NA,4,-1.754521031,0.493764706,0.013776332,0.973753081,-1.754521031,55.40891551,1,0.99985297,0.999995195,0.00673356,0.002434447
20,elephant103047,60,5WT,elephant,NA,0.001886463,NA,0.001866227,NA,NA,NA,NA,0.975011377,NA,0.96259981,NA,0.961275909,NA,0.996855736,NA,NA,4,-1.644584499,0.487204089,0.001876344,0.972531833,-1.644584499,36.11710461,1,0.999347066,0.999992827,0.014345221,0.003007096
21,elephant103047,120,5WT,elephant,NA,0.006052386,NA,0.008521,NA,NA,NA,NA,0.973356502,NA,0.96259981,NA,0.962765297,NA,0.98775392,NA,NA,4,-1.759486753,0.488437707,0.006052134,0.970823279,-1.759486753,15.09601062,1,0.999656851,0.999999664,0.010315303,0.000645387
22,elephant103047,240,8WT,elephant,NA,0.005593079,NA,0.004108079,NA,NA,NA,NA,0.97073213,NA,0.970212582,NA,0.964843919,NA,0.957570247,NA,NA,4,-1.59190375,0.485538573,0.004850063,0.966227084,-1.59190375,35.66623362,1,0.999907315,0.999991687,0.005341728,0.003199547
